Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Healthy Life Expectancy,Freedom ,Generosity,Trust Government Corruption,Dystopia Residual,,,,,,,,,,,,,,,
Afghanistan,Southern Asia,145,3.632,0.332,0.537,0.255,0.085,0.191,0.036,2.196,,,,,,,,,,,,,,,
Albania,Central and Eastern Europe,112,4.586,0.916,0.817,0.79,0.419,0.149,0.032,1.463,,,,,,,,,,,,,,,
Algeria,MENA,84,5.295,0.979,1.154,0.687,0.077,0.055,0.135,2.208,,,,,,,,,,,,,,,
Argentina,Latin America and Caribbean,29,6.388,1.073,1.468,0.744,0.57,0.062,0.054,2.417,,,,,,,,,,,,,,,
Armenia,Central and Eastern Europe,129,4.321,0.816,0.99,0.666,0.26,0.077,0.028,1.484,,,,,,,,,,,,,,,
Australia,Australia and New Zealand,10,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2.139,,,,,,,,,,,,,,,
Austria,Western Europe,12,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2.32,,,,,,,,,,,,,,,
Bahrain,MENA,43,6.105,1.338,1.366,0.698,0.594,0.243,0.123,1.743,,,,,,,,,,,,,,,
Bangladesh,Southern Asia,115,4.5,0.532,0.85,0.579,0.58,0.153,0.144,1.662,,,,,,,,,,,,,,,
Belgium,Western Europe,16,6.927,1.324,1.483,0.894,0.583,0.188,0.24,2.215,,,,,,,,,,,,,,,
Benin,"Sub-Saharan Africa
",136,4.141,0.378,0.372,0.24,0.44,0.163,0.067,2.481,,,,,,,,,,,,,,,
Bolivia,Latin America and Caribbean,62,5.752,0.751,1.223,0.508,0.606,0.141,0.054,2.469,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Central and Eastern Europe,93,5.129,0.915,1.078,0.758,0.28,0.216,0,1.882,,,,,,,,,,,,,,,
Botswana,"Sub-Saharan Africa
",146,3.59,1.017,1.174,0.417,0.557,0.042,0.092,0.291,,,,,,,,,,,,,,,
Brazil,Latin America and Caribbean,28,6.419,0.986,1.474,0.675,0.493,0.11,0.088,2.593,,,,,,,,,,,,,,,
