Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Healthy Life Expectancy,Freedom,Generosity,Trust Government Corruption,Dystopia Residual,,,,,
Afghanistan,Southern Asia,141,2.5669,0.300706,0.356434,0.266052,0,0.135235,0.001226,1.507236,,,,,
Albania,Central and Eastern Europe,101,4.8827,0.906653,0.830484,0.84633,0.461946,0.171028,0.025361,1.640897,,,,,
Algeria,MENA,96,5.0051,0.943856,1.143004,0.745419,0.083944,0.118915,0.129191,1.840812,,,,,
Argentina,Latin America and Caribbean,55,5.9747,1.028466,1.372544,0.849774,0.52084,0.0701,0.060415,2.072541,,,,,
Armenia,Central and Eastern Europe,111,4.6768,0.808262,1.034577,0.775857,0.378076,0.107226,0.104618,1.468162,,,,,
Australia,Australia and New Zealand,12,7.2228,1.310396,1.477146,1.022608,0.621877,0.324974,0.335996,2.129804,,,,,
Austria,Western Europe,9,7.2942,1.317286,1.437445,1.000934,0.603369,0.25551,0.281256,2.398446,,,,,
Bahrain,MENA,40,6.2273,1.296692,1.315324,0.838836,0.6104,0.287454,0.126697,1.751917,,,,,
Bangladesh,Southern Asia,103,4.8328,0.556156,0.868801,0.694941,0.604131,0.176745,0.176736,1.755262,,,,,
Belgium,Western Europe,20,6.8635,1.295843,1.398678,0.964901,0.499805,0.146966,0.208724,2.348627,,,,,
Benin,Sub-Saharan Africa,84,5.216,0.366245,0.352428,0.328063,0.40584,0.19667,0.125932,3.44081,,,,,
Bolivia,Latin America and Caribbean,65,5.7475,0.730976,1.142351,0.662446,0.574465,0.138375,0.072943,2.425929,,,,,
Bosnia and Herzegovina,Central and Eastern Europe,69,5.6741,0.918395,1.203987,0.813928,0.305366,0.264005,0.001172,2.167242,,,,,
Botswana,Sub-Saharan Africa,137,3.4789,0.997549,1.085695,0.494102,0.509089,0.033407,0.101786,0.257241,,,,,
Brazil,Latin America and Caribbean,32,6.3756,0.95268,1.363464,0.766119,0.483293,0.131675,0.106519,2.57186,,,,,
Bulgaria,Central and Eastern Europe,92,5.1015,1.046555,1.460579,0.777777,0.41782,0.103834,0,1.294961,,,,,
Burkina Faso,Sub-Saharan Africa,108,4.7687,0.302468,0.929386,0.312834,0.322398,0.186391,0.126408,2.588826,,,,,
Cameroon,Sub-Saharan Africa,94,5.0849,0.503958,0.899726,0.27019,0.439242,0.19802,0.054393,2.719371,,,,,
Canada,North America,11,7.2321,1.301648,1.435392,1.022502,0.644028,0.281529,0.351702,2.195269,,,,,
Chad,Sub-Saharan Africa,120,4.4227,0.302287,0.739118,0.108744,0.228602,0.210805,0.085755,2.747427,,,,,
Chile,Latin America and Caribbean,39,6.2285,1.096992,1.323287,0.889261,0.417482,0.155579,0.062849,2.283013,,,,,
China,Eastern Asia,90,5.1239,0.990533,1.132081,0.867249,0.601605,0.079021,0.117256,1.336182,,,,,
