Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Healthy Life Expectancy,Freedom,Generosity,Trust Government Corruption,Dystopia Residual
Afghanistan,Southern Asia,146,2.404,0.758,0,0.289,0,0.089,0.005,2.224
Albania,Central and Eastern Europe,90,5.199,1.439,0.646,0.719,0.511,0.138,0.028,1.885
Algeria,MENA,96,5.122,1.363,0.97,0.643,0.146,0.106,0.15,1.744
Argentina,Latin America and Caribbean,57,5.967,1.592,1.102,0.662,0.555,0.081,0.085,2.346
Armenia,Central and Eastern Europe,82,5.399,1.434,0.82,0.668,0.558,0.054,0.21,2.446
Australia,Australia and New Zealand,12,7.162,1.9,1.203,0.772,0.676,0.258,0.341,2.011
Austria,Western Europe,11,7.163,1.931,1.165,0.774,0.623,0.193,0.329,2.518
Bahrain,MENA,21,6.647,1.854,1.029,0.625,0.693,0.199,0.155,2.092
Bangladesh,Southern Asia,94,5.155,1.06,0.614,0.581,0.622,0.125,0.187,1.967
Belgium,Western Europe,19,6.805,1.907,1.106,0.764,0.492,0.049,0.204,2.226
Benin,Sub-Saharan Africa,115,4.623,0.932,0.064,0.335,0.479,0.127,0.23,1.969
Bolivia,Latin America and Caribbean,71,5.6,1.256,0.88,0.555,0.627,0.112,0.064,1.974
Bosnia and Herzegovina,Central and Eastern Europe,67,5.768,1.468,1.068,0.665,0.448,0.244,0.006,2.094
Botswana,Sub-Saharan Africa,142,3.471,1.503,0.815,0.28,0.571,0.012,0.102,1.742
Brazil,Latin America and Caribbean,38,6.293,1.462,1.044,0.615,0.546,0.131,0.134,2.086
Bulgaria,Central and Eastern Europe,85,5.371,1.625,1.163,0.64,0.563,0.123,0.021,1.442
Burkina Faso,Sub-Saharan Africa,113,4.67,0.779,0.565,0.32,0.382,0.186,0.126,2.844
Cameroon,Sub-Saharan Africa,102,5.048,0.968,0.672,0.317,0.397,0.152,0.074,2.658
Canada,North America,15,7.025,1.886,1.188,0.783,0.659,0.217,0.368,1.924
Chad,Sub-Saharan Africa,130,4.251,0.662,0.506,0.225,0.18,0.182,0.077,2.469
Chile,Latin America and Caribbean,44,6.172,1.651,1.08,0.748,0.46,0.124,0.069,2.361
China,Eastern Asia,72,5.585,1.508,0.958,0.705,0.656,0.099,0.142,2.002
Colombia,Latin America and Caribbean,66,5.781,1.452,0.929,0.72,0.545,0.087,0.077,2.746
Congo,Sub-Saharan Africa,99,5.075,0.95,0.405,0.355,0.431,0.13,0.146,2.419
Costa Rica,Latin America and Caribbean,23,6.582,1.584,1.054,0.744,0.661,0.089,0.102,2.04
Croatia,Central and Eastern Europe,47,6.125,1.705,1.183,0.709,0.535,0.109,0,1.923
Cyprus,Western Europe,41,6.221,1.815,0.909,0.819,0.448,0.123,0.062,2.32
Denmark,Western Europe,2,7.636,1.953,1.243,0.777,0.719,0.188,0.532,2.153
Dominican Republic,Latin America and Caribbean,69,5.737,1.538,1.003,0.577,0.606,0.084,0.179,2.418
Ecuador,Latin America and Caribbean,76,5.533,1.352,0.879,0.708,0.565,0.08,0.083,2.239
Egypt,MENA,129,4.288,1.388,0.732,0.548,0.469,0.041,0.254,0.856
El Salvador,Latin America and Caribbean,49,6.12,1.265,0.768,0.607,0.666,0.089,0.212,2.514
Estonia,Central and Eastern Europe,36,6.341,1.793,1.232,0.728,0.689,0.123,0.333,2.031
Ethiopia,Sub-Saharan Africa,131,4.241,0.788,0.809,0.457,0.472,0.205,0.136,2.667
Finland,Western Europe,1,7.821,1.892,1.258,0.775,0.736,0.109,0.534,2.137
France,Western Europe,20,6.687,1.863,1.219,0.808,0.567,0.07,0.266,2.042
Gabon,Sub-Saharan Africa,106,4.958,1.459,0.738,0.396,0.343,0.032,0.099,1.892
Georgia,Central and Eastern Europe,105,4.973,1.467,0.612,0.595,0.508,0,0.208,1.884
Germany,Western Europe,14,7.034,1.924,1.088,0.776,0.585,0.163,0.358,2.003
Ghana,Sub-Saharan Africa,111,4.872,1.112,0.595,0.409,0.5,0.23,0.056,2.538
Greece,Western Europe,58,5.948,1.703,0.98,0.774,0.249,0.015,0.108,1.925
Guatemala,Latin America and Caribbean,39,6.262,1.274,0.831,0.522,0.662,0.112,0.115,2.611
Guinea,Sub-Saharan Africa,109,4.891,0.848,0.566,0.275,0.334,0.214,0.116,1.972
Honduras,Latin America and Caribbean,55,6.022,1.111,0.885,0.555,0.582,0.202,0.076,1.891
Hong Kong,Eastern Asia,81,5.425,1.957,0.954,0.942,0.4,0.147,0.383,1.487
Hungary,Central and Eastern Europe,51,6.086,1.748,1.233,0.668,0.485,0.078,0.064,1.693
Iceland,Western Europe,3,7.557,1.936,1.32,0.803,0.718,0.27,0.191,2.148
India,Southern Asia,136,3.777,1.167,0.376,0.471,0.647,0.198,0.123,1.94
Indonesia,Southeastern Asia,87,5.24,1.382,0.883,0.539,0.62,0.468,0.047,2.283
Iran,MENA,110,4.888,1.41,0.741,0.642,0.281,0.241,0.146,1.427
Iraq,MENA,107,4.941,1.289,0.682,0.554,0.328,0.147,0.046,1.894
Ireland,Western Europe,13,7.041,2.129,1.166,0.779,0.627,0.19,0.408,1.743
Israel,MENA,9,7.364,1.826,1.221,0.818,0.568,0.155,0.143,2.634
Italy,Western Europe,31,6.467,1.834,1.052,0.801,0.412,0.085,0.059,2.142
Jamaica,Latin America and Caribbean,63,5.85,1.296,1.045,0.646,0.567,0.08,0.053,2.164
Japan,Eastern Asia,54,6.039,1.835,1.089,0.866,0.537,0.007,0.218,1.656
Jordan,MENA,134,4.152,1.324,0.724,0.675,0.476,0.058,0.2,0.695
Kazakhstan,Central and Eastern Europe,40,6.234,1.668,1.22,0.611,0.584,0.134,0.157,1.812
Kenya,Sub-Saharan Africa,119,4.543,1.032,0.605,0.401,0.44,0.322,0.082,2.313
Kosovo,Central and Eastern Europe,32,6.455,1.362,0.949,0.569,0.599,0.309,0.035,1.869
Kuwait,MENA,50,6.106,1.904,0.983,0.747,0.617,0.087,0.147,1.621
Kyrgyzstan,Central and Eastern Europe,64,5.828,1.069,1.109,0.638,0.693,0.208,0.025,1.619
Latvia,Central and Eastern Europe,42,6.18,1.732,1.221,0.637,0.502,0.075,0.09,1.235
Lebanon,MENA,145,2.955,1.392,0.498,0.631,0.103,0.082,0.034,0.216
Liberia,Sub-Saharan Africa,97,5.122,0.636,0.67,0.309,0.405,0.178,0.08,2.458
Libya,MENA,86,5.33,1.476,0.943,0.606,0.477,0.106,0.179,1.544
Lithuania,Central and Eastern Europe,34,6.446,1.804,1.204,0.659,0.496,0.053,0.077,1.718
Luxembourg,Western Europe,6,7.404,2.209,1.155,0.79,0.7,0.12,0.388,1.967
Madagascar,Sub-Saharan Africa,128,4.339,0.67,0.645,0.378,0.202,0.143,0.154,1.842
Malawi,Sub-Saharan Africa,138,3.75,0.648,0.279,0.388,0.477,0.14,0.157,1.784
Malaysia,Southeastern Asia,70,5.711,1.689,0.938,0.62,0.654,0.213,0.126,1.471
Mali,Sub-Saharan Africa,123,4.479,0.792,0.483,0.311,0.35,0.128,0.042,1.661
Malta,Western Europe,33,6.447,1.838,1.169,0.789,0.679,0.174,0.166,2.283
Mauritania,Sub-Saharan Africa,133,4.153,1.1,0.865,0.45,0.304,0.088,0.138,2.373
Mauritius,Sub-Saharan Africa,52,6.071,1.591,1.116,0.568,0.589,0.131,0.107,2.148
Mexico,Latin America and Caribbean,46,6.128,1.552,0.886,0.623,0.621,0.092,0.115,1.971
Moldova,Central and Eastern Europe,62,5.857,1.417,1.008,0.597,0.561,0.102,0.028,1.86
Mongolia,Eastern Asia,68,5.761,1.393,1.197,0.467,0.398,0.247,0.059,1.999
Montenegro,Central and Eastern Europe,75,5.547,1.573,1.023,0.659,0.46,0.135,0.077,1.913
Morocco,MENA,100,5.06,1.208,0.268,0.565,0.492,0.02,0.102,2.405
Myanmar,Southeastern Asia,126,4.394,1.038,0.829,0.491,0.513,0.452,0.194,1.735
Nepal,Southern Asia,84,5.377,0.984,0.784,0.499,0.519,0.237,0.13,0.595
Netherlands,Western Europe,5,7.415,1.945,1.206,0.787,0.651,0.271,0.419,1.895
New Zealand,Australia and New Zealand,10,7.2,1.852,1.235,0.752,0.68,0.245,0.483,1.954
Nicaragua,Latin America and Caribbean,45,6.165,1.105,1.029,0.617,0.617,0.168,0.212,1.751
Niger,Sub-Saharan Africa,104,5.003,0.57,0.56,0.326,0.571,0.165,0.145,2.419
Nigeria,Sub-Saharan Africa,118,4.552,1.079,0.732,0.3,0.444,0.175,0.038,1.375
Norway,Western Europe,8,7.365,1.997,1.239,0.786,0.728,0.217,0.474,1.893
Pakistan,Southern Asia,121,4.516,1.049,0.413,0.374,0.448,0.181,0.112,0.795
Palestinian,MENA,122,4.483,1.148,0.957,0.521,0.336,0.073,0.079,1.368
Panama,Latin America and Caribbean,37,6.309,1.715,1.107,0.709,0.592,0.049,0.051,2.107
Paraguay,Latin America and Caribbean,73,5.578,1.409,1.13,0.624,0.629,0.171,0.059,1.555
Peru,Latin America and Caribbean,74,5.559,1.397,0.865,0.735,0.545,0.09,0.037,1.89
Philippines,Southeastern Asia,60,5.904,1.268,0.912,0.514,0.678,0.107,0.142,1.3
Poland,Central and Eastern Europe,48,6.123,1.758,1.174,0.712,0.523,0.124,0.14,2.142
Portugal,Western Europe,56,6.016,1.76,1.078,0.777,0.655,0.016,0.039,2.222
Romania,Central and Eastern Europe,28,6.477,1.719,1.006,0.655,0.605,0.039,0.006,2.087
Russia,Central and Eastern Europe,80,5.459,1.685,1.095,0.586,0.401,0.117,0.08,1.811
Saudi Arabia,MENA,25,6.523,1.87,1.092,0.577,0.651,0.078,0.18,2.075
Senegal,Sub-Saharan Africa,103,5.046,0.933,0.53,0.447,0.494,0.143,0.081,2.061
Serbia,Central and Eastern Europe,43,6.178,1.55,1.086,0.658,0.546,0.219,0.088,1.16
Sierra Leone,Sub-Saharan Africa,140,3.574,0.686,0.416,0.273,0.387,0.202,0.055,1.135
Singapore,Southeastern Asia,27,6.48,2.149,1.127,0.851,0.672,0.163,0.587,1.709
Slovakia,Central and Eastern Europe,35,6.391,1.736,1.232,0.707,0.479,0.118,0.025,1.494
Slovenia,Central and Eastern Europe,22,6.63,1.81,1.249,0.769,0.685,0.118,0.115,1.654
South Africa,Sub-Saharan Africa,91,5.194,1.425,1.088,0.361,0.442,0.089,0.046,1.661
South Korea,Eastern Asia,59,5.935,1.851,0.886,0.841,0.414,0.111,0.176,1.516
Spain,Western Europe,29,6.476,1.808,1.211,0.808,0.505,0.101,0.149,1.631
Sri Lanka,Southern Asia,127,4.362,1.415,0.934,0.66,0.529,0.15,0.079,1.263
Sweden,Western Europe,7,7.384,1.92,1.204,0.803,0.724,0.218,0.512,2.044
Switzerland,Western Europe,4,7.512,2.026,1.226,0.822,0.677,0.147,0.461,1.691
Taiwan,Eastern Asia,26,6.512,1.897,1.095,0.733,0.542,0.075,0.168,0.642
Tajikistan,Central and Eastern Europe,83,5.377,0.966,1.005,0.518,0.572,0.118,0.304,1.895
Tanzania,Sub-Saharan Africa,139,3.702,0.848,0.597,0.425,0.578,0.248,0.27,0.735
Thailand,Southeastern Asia,61,5.891,1.535,1.096,0.697,0.617,0.321,0.026,1.41
Togo,Sub-Saharan Africa,135,4.112,0.771,0.322,0.36,0.292,0.174,0.132,1.556
Tunisia,MENA,120,4.516,1.35,0.596,0.656,0.316,0.029,0.029,1.54
Turkiye,MENA,112,4.744,1.707,0.865,0.702,0.209,0.087,0.115,1.059
Uganda,Sub-Saharan Africa,117,4.603,0.777,0.875,0.418,0.402,0.222,0.066,0.187
Ukraine,Central and Eastern Europe,98,5.084,1.411,1.081,0.583,0.473,0.188,0.017,1.331
United Arab Emirates,MENA,24,6.576,1.998,0.98,0.633,0.702,0.204,0.25,1.809
United Kingdom,Western Europe,17,6.943,1.867,1.143,0.75,0.597,0.289,0.329,2.119
United States,North America,16,6.977,1.982,1.182,0.628,0.574,0.22,0.177,2.214
Uruguay,Latin America and Caribbean,30,6.474,1.615,1.18,0.672,0.665,0.103,0.265,1.866
Uzbekistan,Central and Eastern Europe,53,6.063,1.219,1.092,0.6,0.716,0.283,0.24,1.583
Venezuela,Latin America and Caribbean,108,4.925,0,0.968,0.578,0.283,0.225,0.082,2.79
Vietnam,Southeastern Asia,77,5.485,1.252,0.932,0.611,0.707,0.143,0.105,0.877
Yemen,MENA,132,4.197,0.691,1.043,0.384,0.33,0.09,0.098,1.561
Zambia,Sub-Saharan Africa,137,3.76,0.93,0.577,0.306,0.525,0.203,0.083,0.536
Zimbabwe,Sub-Saharan Africa,144,2.995,0.947,0.69,0.27,0.329,0.106,0.105,0.548
