Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Healthy Life Expectancy,Freedom,Generosity,Trust Government Corruption,Dystopia Residual,,,,,,,
Afghanistan,Southern Asia,137,1.859,0.645,0,0.087,0,0.093,0.059,0.976,,,,,,,
Albania,Central and Eastern Europe,83,5.277,1.449,0.951,0.48,0.549,0.133,0.037,1.678,,,,,,,
Algeria,MENA,81,5.329,1.353,1.298,0.409,0.252,0.073,0.152,1.791,,,,,,,
Argentina,Latin America and Caribbean,52,6.024,1.59,1.388,0.427,0.587,0.088,0.082,1.861,,,,,,,
Armenia,Central and Eastern Europe,79,5.342,1.466,1.134,0.443,0.551,0.053,0.16,1.534,,,,,,,
Australia,Australia and New Zealand,12,7.095,1.899,1.497,0.532,0.677,0.242,0.31,1.938,,,,,,,
Austria,Western Europe,11,7.097,1.927,1.382,0.535,0.63,0.191,0.31,2.124,,,,,,,
Bahrain,MENA,42,6.173,1.883,1.269,0.389,0.748,0.199,0.138,1.546,,,,,,,
Bangladesh,Southern Asia,118,4.282,1.133,0.513,0.355,0.617,0.139,0.165,1.361,,,,,,,
Belgium,Western Europe,17,6.859,1.907,1.449,0.528,0.59,0.137,0.273,1.976,,,,,,,
Benin,Sub-Saharan Africa,116,4.374,0.924,0.242,0.124,0.481,0.114,0.253,2.235,,,,,,,
Bolivia,Latin America and Caribbean,69,5.684,1.24,1.187,0.329,0.648,0.103,0.06,2.118,,,,,,,
Bosnia and Herzegovina,Central and Eastern Europe,71,5.633,1.467,1.361,0.429,0.485,0.247,0.008,1.635,,,,,,,
Botswana,Sub-Saharan Africa,132,3.435,1.471,1.041,0.087,0.48,0.021,0.071,0.264,,,,,,,
Brazil,Latin America and Caribbean,49,6.125,1.454,1.25,0.387,0.558,0.131,0.137,2.205,,,,,,,
Bulgaria,Central and Eastern Europe,77,5.466,1.635,1.457,0.408,0.557,0.106,0.013,1.289,,,,,,,
Burkina Faso,Sub-Saharan Africa,104,4.638,0.768,0.814,0.107,0.419,0.188,0.113,2.23,,,,,,,
Cameroon,Sub-Saharan Africa,96,4.973,0.965,0.871,0.118,0.405,0.144,0.059,2.411,,,,,,,
Canada,North America,13,6.961,1.881,1.484,0.541,0.656,0.218,0.364,1.815,,,,,,,
Chad,Sub-Saharan Africa,114,4.397,0.622,0.962,0.043,0.393,0.255,0.088,2.034,,,,,,,
Chile,Latin America and Caribbean,35,6.334,1.645,1.384,0.511,0.546,0.131,0.076,2.04,,,,,,,
China,Eastern Asia,64,5.818,1.51,1.249,0.468,0.666,0.115,0.145,1.666,,,,,,,
Colombia,Latin America and Caribbean,72,5.63,1.455,1.213,0.486,0.562,0.08,0.068,1.765,,,,,,,
Congo,Sub-Saharan Africa,86,5.267,0.921,0.665,0.145,0.464,0.134,0.136,2.802,,,,,,,
Costa Rica,Latin America and Caribbean,23,6.609,1.587,1.34,0.503,0.683,0.099,0.116,2.281,,,,,,,
Croatia,Central and Eastern Europe,48,6.125,1.727,1.455,0.475,0.5,0.087,0.003,1.88,,,,,,,
Cyprus,Western Europe,46,6.13,1.824,1.224,0.58,0.455,0.104,0.05,1.893,,,,,,,
Denmark,Western Europe,2,7.586,1.949,1.548,0.537,0.734,0.208,0.525,2.084,,,,,,,
Dominican Republic,Latin America and Caribbean,73,5.569,1.536,1.227,0.351,0.623,0.083,0.195,1.553,,,,,,,
Ecuador,Latin America and Caribbean,74,5.559,1.343,1.173,0.476,0.56,0.079,0.069,1.86,,,,,,,
Egypt,MENA,121,4.17,1.377,0.972,0.326,0.467,0.038,0.25,0.74,,,,,,,
El Salvador,Latin America and Caribbean,50,6.122,1.278,1.044,0.383,0.713,0.079,0.222,2.403,,,,,,,
Estonia,Central and Eastern Europe,31,6.455,1.798,1.526,0.494,0.728,0.153,0.372,1.383,,,,,,,
Ethiopia,Sub-Saharan Africa,124,4.091,0.793,1.114,0.25,0.451,0.283,0.101,1.099,,,,,,,
Finland,Western Europe,1,7.804,1.888,1.585,0.535,0.772,0.126,0.535,2.363,,,,,,,
France,Western Europe,21,6.661,1.856,1.433,0.566,0.582,0.083,0.27,1.872,,,,,,,
Gabon,Sub-Saharan Africa,94,5.035,1.438,1.021,0.183,0.346,0.036,0.102,1.908,,,,,,,
Georgia,Central and Eastern Europe,90,5.109,1.477,0.947,0.366,0.539,0,0.201,1.58,,,,,,,
Germany,Western Europe,16,6.892,1.919,1.401,0.539,0.618,0.153,0.365,1.898,,,,,,,
Ghana,Sub-Saharan Africa,107,4.605,1.101,0.756,0.197,0.526,0.211,0.035,1.779,,,,,,,
Greece,Western Europe,58,5.931,1.708,1.247,0.535,0.248,0.008,0.097,2.089,,,,,,,
Guatemala,Latin America and Caribbean,43,6.15,1.287,1.188,0.31,0.631,0.106,0.066,2.562,,,,,,,
Guinea,Sub-Saharan Africa,91,5.072,0.844,0.776,0.072,0.369,0.204,0.102,2.705,,,,,,,
Honduras,Latin America and Caribbean,53,6.023,1.115,1.072,0.341,0.613,0.189,0.062,2.631,,,,,,,
Hong Kong,Eastern Asia,82,5.308,1.951,1.201,0.702,0.407,0.123,0.39,0.535,,,,,,,
Hungary,Central and Eastern Europe,51,6.041,1.754,1.519,0.435,0.501,0.105,0.065,1.663,,,,,,,
Iceland,Western Europe,3,7.53,1.926,1.62,0.559,0.738,0.25,0.187,2.25,,,,,,,
India,Southern Asia,126,4.036,1.159,0.674,0.252,0.685,0.175,0.111,0.979,,,,,,,
Indonesia,Southeastern Asia,84,5.277,1.384,1.169,0.314,0.663,0.422,0.038,1.288,,,,,,,
Iran,MENA,101,4.876,1.465,1.102,0.411,0.281,0.229,0.13,1.259,,,,,,,
Iraq,MENA,98,4.941,1.281,0.953,0.324,0.351,0.134,0.038,1.861,,,,,,,
Ireland,Western Europe,14,6.911,2.152,1.425,0.539,0.656,0.186,0.409,1.545,,,,,,,
Israel,MENA,4,7.473,1.833,1.521,0.577,0.569,0.124,0.158,2.691,,,,,,,
Italy,Western Europe,33,6.405,1.832,1.365,0.559,0.438,0.097,0.063,2.052,,,,,,,
Jamaica,Latin America and Caribbean,68,5.703,1.305,1.329,0.411,0.587,0.079,0.039,1.954,,,,,,,
Japan,Eastern Asia,47,6.129,1.825,1.396,0.622,0.556,0.009,0.207,1.513,,,,,,,
Jordan,MENA,123,4.12,1.292,0.98,0.438,0.517,0.056,0.173,0.663,,,,,,,
Kazakhstan,Central and Eastern Europe,44,6.144,1.664,1.491,0.389,0.628,0.136,0.149,1.688,,,,,,,
Kenya,Sub-Saharan Africa,111,4.487,1.051,0.881,0.19,0.418,0.291,0.055,1.601,,,,,,,
Kosovo,Central and Eastern Europe,34,6.368,1.374,1.269,0.372,0.639,0.275,0.045,2.393,,,,,,,
Kyrgyzstan,Central and Eastern Europe,62,5.825,1.061,1.439,0.417,0.735,0.234,0.018,1.92,,,,,,,
Latvia,Central and Eastern Europe,41,6.213,1.737,1.505,0.405,0.58,0.107,0.071,1.808,,,,,,,
Lebanon,MENA,136,2.392,1.417,0.476,0.398,0.123,0.061,0.027,-0.11,,,,,,,
Liberia,Sub-Saharan Africa,125,4.042,0.628,0.644,0.141,0.471,0.219,0.071,1.869,,,,,,,
Lithuania,Central and Eastern Europe,20,6.763,1.808,1.511,0.432,0.487,0.059,0.089,2.377,,,,,,,
Luxembourg,Western Europe,9,7.228,2.2,1.357,0.549,0.71,0.149,0.418,1.845,,,,,,,
Madagascar,Sub-Saharan Africa,127,4.019,0.632,0.779,0.178,0.187,0.177,0.134,1.932,,,,,,,
Malawi,Sub-Saharan Africa,131,3.495,0.637,0.479,0.189,0.49,0.139,0.129,1.432,,,,,,,
Malaysia,Southeastern Asia,55,6.012,1.665,1.155,0.385,0.659,0.222,0.122,1.804,,,,,,,
Mali,Sub-Saharan Africa,120,4.198,0.763,0.637,0.106,0.441,0.121,0.059,2.07,,,,,,,
Malta,Western Europe,37,6.3,1.841,1.468,0.547,0.671,0.2,0.143,1.429,,,,,,,
