Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health Life Expectancy,Freedom,Generosity,Trust Government Corruption,Dystopia Residual,,,,,,,,,,,,,
Afghanistan,Southern Asia,153,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,1.9521,,,,,,,,,,,,,
Albania,Central and Eastern Europe,95,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,1.89894,,,,,,,,,,,,,
Algeria,MENA,68,5.605,0.939,1.078,0.618,0.286,0.078,0.174,2.432,,,,,,,,,,,,,
Argentina,Latin America and Caribbean,30,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,2.836,,,,,,,,,,,,,
Armenia,Central and Eastern Europe,127,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,1.75873,,,,,,,,,,,,,
Australia,Australia and New Zealand,10,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,2.26646,,,,,,,,,,,,,
Austria,Western Europe,13,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676,2.5332,,,,,,,,,,,,,
Bahrain,MENA,49,5.960,1.324,1.216,0.747,0.455,0.174,0.306,1.738,,,,,,,,,,,,,
Bangladesh,Southern Asia,109,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,2.51767,,,,,,,,,,,,,
Belgium,Western Europe,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,2.41484,,,,,,,,,,,,,
Benin,Sub-Saharan Africa,155,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,1.63328,,,,,,,,,,,,,
Bolivia,Latin America and Caribbean,51,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,2.82334,,,,,,,,,,,,,
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,2.06367,,,,,,,,,,,,,
Botswana,Sub-Saharan Africa,128,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,1.46181,,,,,,,,,,,,,
Brazil,Latin America and Caribbean,16,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,3.26001,,,,,,,,,,,,,
Bulgaria,Central and Eastern Europe,134,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,0.89991,,,,,,,,,,,,,
Burkina Faso,Sub-Saharan Africa,152,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832,1.46494,,,,,,,,,,,,,
Cameroon,Sub-Saharan Africa,133,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786,1.95071,,,,,,,,,,,,,
Canada,North America,5,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,2.45176,,,,,,,,,,,,,
Chad,Sub-Saharan Africa,149,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,1.94296,,,,,,,,,,,,,
Chile,Latin America and Caribbean,27,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869,2.67585,,,,,,,,,,,,,
China,Eastern Asia,84,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,1.8604,,,,,,,,,,,,,
Colombia,Latin America and Caribbean,33,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,2.85737,,,,,,,,,,,,,
Congo,Sub-Saharan Africa,139,3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686,1.68135,,,,,,,,,,,,,
Costa Rica,Latin America and Caribbean,12,7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583,3.17728,,,,,,,,,,,,,
Croatia,Central and Eastern Europe,62,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,2.75414,,,,,,,,,,,,,
Cyprus,Western Europe,67,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,1.88931,,,,,,,,,,,,,
Denmark,Western Europe,3,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357,2.49204,,,,,,,,,,,,,
Dominican Republic,Latin America and Caribbean,98,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,1.21305,,,,,,,,,,,,,
Ecuador,Latin America and Caribbean,48,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,2.53942,,,,,,,,,,,,,
Egypt,MENA,135,4.194,0.882,0.747,0.617,0.173,0.113,0.063,1.599,,,,,,,,,,,,,
El Salvador,Latin America and Caribbean,42,6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776,3.035,,,,,,,,,,,,,
Estonia,Central and Eastern Europe,73,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,1.58782,,,,,,,,,,,,,
Ethiopia,Sub-Saharan Africa,122,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,2.44876,,,,,,,,,,,,,
Finland,Western Europe,6,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372,2.61955,,,,,,,,,,,,,
France,Western Europe,29,6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646,2.21126,,,,,,,,,,,,,
Gabon,Sub-Saharan Africa,143,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091,0.99895,,,,,,,,,,,,,
Georgia,Central and Eastern Europe,130,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331,1.59541,,,,,,,,,,,,,
Germany,Western Europe,26,6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843,2.11569,,,,,,,,,,,,,
Ghana,Sub-Saharan Africa,114,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,2.30919,,,,,,,,,,,,,
Greece,Western Europe,102,4.857,1.15406,0.92933,0.88213,0.07699,0,0.01397,1.80101,,,,,,,,,,,,,
Guatemala,Latin America and Caribbean,43,6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472,2.74255,,,,,,,,,,,,,
Guinea,Sub-Saharan Africa,150,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139,1.99172,,,,,,,,,,,,,
Honduras,Latin America and Caribbean,105,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,1.84408,,,,,,,,,,,,,
Hong Kong,Eastern Asia,72,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,0.65429,,,,,,,,,,,,,
Hungary,Central and Eastern Europe,104,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,1.24074,,,,,,,,,,,,,
Iceland,Western Europe,2,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145,2.70201,,,,,,,,,,,,,
India,Southern Asia,117,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,2.27513,,,,,,,,,,,,,
Indonesia,Southeastern Asia,74,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0,1.86399,,,,,,,,,,,,,
Iran,MENA,110,4.686,1.009,0.544,0.698,0.300,0.381,0.059,1.694,,,,,,,,,,,,,
Iraq,MENA,112,4.677,0.985,0.819,0.602,0.000,0.179,0.138,1.953,,,,,,,,,,,,,
Ireland,Western Europe,18,6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703,1.9757,,,,,,,,,,,,,
Israel,MENA,11,7.278,1.229,1.224,0.914,0.413,0.332,0.078,3.089,,,,,,,,,,,,,
Italy,Western Europe,50,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,2.02518,,,,,,,,,,,,,
Jamaica,Latin America and Caribbean,65,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,2.32038,,,,,,,,,,,,,
Japan,Eastern Asia,46,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,1.68435,,,,,,,,,,,,,
Jordan,MENA,82,5.192,0.902,1.054,0.696,0.407,0.111,0.143,1.880,,,,,,,,,,,,,
Kazakhstan,Central and Eastern Europe,54,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,2.24729,,,,,,,,,,,,,
Kenya,Sub-Saharan Africa,125,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,1.78555,,,,,,,,,,,,,
Kosovo,Central and Eastern Europe,69,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741,2.76579,,,,,,,,,,,,,
Kuwait,MENA,39,6.295,1.554,1.166,0.725,0.555,0.162,0.256,1.876,,,,,,,,,,,,,
Kyrgyzstan,Central and Eastern Europe,77,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,2.2327,,,,,,,,,,,,,
Latvia,Central and Eastern Europe,89,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,1.62215,,,,,,,,,,,,,
Lebanon,MENA,103,4.839,1.026,0.800,0.839,0.339,0.219,0.046,1.571,,,,,,,,,,,,,
Liberia,Sub-Saharan Africa,116,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232,2.77729,,,,,,,,,,,,,
Libya,MENA,63,5.754,1.131,1.119,0.704,0.417,0.183,0.110,2.091,,,,,,,,,,,,,
Lithuania,Central and Eastern Europe,56,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,2.44649,,,,,,,,,,,,,
Luxembourg,Western Europe,17,6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798,1.96961,,,,,,,,,,,,,
Madagascar,Sub-Saharan Africa,147,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124,1.851,,,,,,,,,,,,,
Malawi,Sub-Saharan Africa,131,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977,2.80791,,,,,,,,,,,,,
Malaysia,Southeastern Asia,61,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,1.88541,,,,,,,,,,,,,
Mali,Sub-Saharan Africa,138,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352,1.79293,,,,,,,,,,,,,
Malta,Western Europe,37,6.302,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586,1.6488,,,,,,,,,,,,,
Mauritania,Sub-Saharan Africa,124,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461,2.11773,,,,,,,,,,,,,
Mauritius,Sub-Saharan Africa,71,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,1.76145,,,,,,,,,,,,,
Mexico,Latin America and Caribbean,14,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312,3.60214,,,,,,,,,,,,,
Moldova,Central and Eastern Europe,52,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615,3.10712,,,,,,,,,,,,,
Mongolia,Eastern Asia,100,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666,1.34759,,,,,,,,,,,,,
Montenegro,Central and Eastern Europe,82,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,2.10017,,,,,,,,,,,,,
Morocco,MENA,92,5.013,0.735,0.641,0.610,0.417,0.072,0.085,2.454,,,,,,,,,,,,,
Myanmar,Southeastern Asia,129,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034,1.41805,,,,,,,,,,,,,
Nepal,Southern Asia,121,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907,1.95637,,,,,,,,,,,,,
Netherlands,Western Europe,7,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814,2.4657,,,,,,,,,,,,,
New Zealand,Australia and New Zealand,9,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922,2.26425,,,,,,,,,,,,,
Nicaragua,Latin America and Caribbean,57,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,2.32407,,,,,,,,,,,,,
Niger,Sub-Saharan Africa,144,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639,1.87877,,,,,,,,,,,,,
Nigeria,Sub-Saharan Africa,78,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,2.89319,,,,,,,,,,,,,
Norway,Western Europe,4,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,2.46531,,,,,,,,,,,,,
Pakistan,Southern Asia,81,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,3.10709,,,,,,,,,,,,,
Palestine,MENA,108,4.715,0.599,0.926,0.660,0.245,0.113,0.129,2.044,,,,,,,,,,,,,
Panama,Latin America and Caribbean,25,6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927,2.84848,,,,,,,,,,,,,
Paraguay,Latin America and Caribbean,53,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,2.18896,,,,,,,,,,,,,
Peru,Latin America and Caribbean,58,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,2.5945,,,,,,,,,,,,,
Philippines,Southeastern Asia,90,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,1.7536,,,,,,,,,,,,,
Poland,Central and Eastern Europe,60,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,1.86565,,,,,,,,,,,,,
Portugal,Western Europe,88,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,1.26462,,,,,,,,,,,,,
Romania,Central and Eastern Europe,86,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,1.93129,,,,,,,,,,,,,
Russia,Central and Eastern Europe,64,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,2.27394,,,,,,,,,,,,,
